"Stkcd","Reptdt","Shrcr1","Shrcr4"
"000413","2016-12-31","11.3153","40.5202"
"000413","2017-12-31","15.8977","37.0674"
"000413","2018-12-31","15.9690","34.6875"
"000413","2019-12-31","15.9690","31.0062"
"000413","2020-12-31","15.9690","27.6920"
"000413","2021-12-31","15.9690","28.1293"
"000413","2022-12-31","16.2454","25.2350"
"000418","2014-12-31","37.7791","67.4613"
"000418","2015-12-31","37.7791","67.3616"
"000418","2016-12-31","37.7791","70.7832"
"000418","2017-12-31","37.7791","72.3024"
"000418","2018-12-31","37.7791","72.6094"
"000420","2014-12-31","11.2194","58.4346"
"000420","2015-12-31","11.2194","58.4346"
"000420","2016-12-31","14.5023","53.5731"
"000420","2017-12-31","15.5938","52.1795"
"000420","2018-12-31","16.1397","48.9267"
"000420","2019-12-31","16.2484","55.7995"
"000420","2020-12-31","16.2484","48.5233"
"000420","2021-12-31","14.6689","44.5726"
"000420","2022-12-31","12.9355","35.2613"
"000422","2014-12-31","16.8540","28.8272"
"000422","2015-12-31","17.0767","34.2029"
"000422","2016-12-31","17.0767","38.3389"
"000422","2017-12-31","17.0767","24.8694"
"000422","2018-12-31","17.0767","27.6485"
"000422","2019-12-31","17.0767","32.1821"
"000422","2020-12-31","17.0767","37.0448"
"000422","2021-12-31","17.0767","35.5078"
"000422","2022-12-31","17.0767","32.5363"
"000423","2014-12-31","23.1417","33.6101"
"000423","2015-12-31","23.1417","34.7778"
"000423","2016-12-31","23.1417","38.6977"
"000423","2017-12-31","23.1417","45.8057"
"000423","2018-12-31","23.1417","50.4421"
"000423","2019-12-31","23.1417","50.0701"
"000423","2020-12-31","23.1417","51.6547"
"000423","2021-12-31","23.1417","45.8609"
"000423","2022-12-31","23.1417","45.9746"
"000425","2014-12-31","46.9317","56.4907"
"000425","2015-12-31","42.1338","53.8194"
"000425","2016-12-31","42.5964","54.4168"
"000425","2017-12-31","42.5964","52.4352"
"000425","2018-12-31","38.1053","57.8973"
"000425","2019-12-31","38.1109","59.8815"
"000425","2020-12-31","38.1109","59.2446"
"000425","2021-12-31","38.1117","54.9376"
"000425","2022-12-31","20.1152","52.9211"
"000488","2014-12-31","18.1075","38.0135"
"000488","2015-12-31","15.1313","41.4201"
"000488","2016-12-31","15.1313","42.8392"
"000488","2017-12-31","15.1313","44.9918"
"000488","2018-12-31","15.2911","45.5801"
"000488","2019-12-31","15.3341","45.3499"
"000488","2020-12-31","15.3248","46.4245"
"000488","2021-12-31","15.3248","43.8309"
"000488","2022-12-31","15.3477","46.4207"
"000505","2014-12-31","26.3575","32.7452"
"000505","2015-12-31","26.3575","33.7738"
"000505","2016-12-31","28.9545","37.5602"
"000505","2017-12-31","42.0594","60.6394"
"000505","2018-12-31","42.0594","60.5277"
"000505","2019-12-31","42.0594","58.4717"
"000505","2020-12-31","39.6780","54.9982"
"000505","2021-12-31","39.6780","54.3250"
"000505","2022-12-31","39.6780","54.2281"
"000510","2014-12-31","4.1591","13.4757"
"000510","2015-12-31","10.0000","36.3806"
"000510","2016-12-31","10.0000","27.4310"
"000510","2017-12-31","13.0549","36.1943"
"000510","2018-12-31","13.0549","33.2073"
"000510","2019-12-31","13.0549","31.8355"
"000510","2020-12-31","10.0549","33.1580"
"000510","2021-12-31","8.8238","28.6530"
"000510","2022-12-31","8.8238","29.0970"
"000511","2014-12-31","13.6911","15.6453"
"000511","2015-12-31","11.2734","18.0608"
"000511","2016-12-31","11.2734","17.9124"
"000511","2017-12-31","11.2734","17.8277"
"000513","2014-12-31","37.8709","76.6506"
"000513","2015-12-31","36.6823","71.9096"
"000513","2016-12-31","34.1973","71.2256"
"000513","2017-12-31","34.2026","68.0915"
"000513","2018-12-31","34.2080","67.6892"
"000513","2019-12-31","34.2049","70.6675"
"000513","2020-12-31","33.8407","68.1345"
"000513","2021-12-31","33.3746","67.1930"
"000513","2022-12-31","33.0902","65.5378"
"000518","2014-12-31","3.8852","15.8558"
"000518","2015-12-31","6.2496","31.2382"
"000518","2016-12-31","8.6050","41.4314"
"000518","2017-12-31","14.0001","53.0473"
"000518","2018-12-31","14.0001","53.4776"
"000518","2019-12-31","14.0001","48.9071"
"000518","2020-12-31","14.0001","42.0574"
"000518","2021-12-31","14.0001","41.7178"
"000518","2022-12-31","14.3151","42.7417"
"000519","2014-12-31","36.0396","64.2587"
"000519","2015-12-31","36.0396","61.5859"
"000519","2016-12-31","33.6804","56.2409"
"000519","2017-12-31","23.2961","58.2845"
"000519","2018-12-31","23.2961","58.2845"
"000519","2019-12-31","22.9707","55.7654"
"000519","2020-12-31","18.9687","52.4071"
"000519","2021-12-31","15.9707","46.2931"
"000519","2022-12-31","15.9707","46.7028"
"000521","2014-12-31","21.5818","41.9104"
"000521","2015-12-31","21.5818","35.6856"
"000521","2016-12-31","22.4685","39.6403"
"000521","2017-12-31","22.4685","40.0440"
"000521","2018-12-31","23.5786","36.8932"
"000521","2019-12-31","23.7850","36.7635"
"000521","2020-12-31","23.7850","36.6555"
"000521","2021-12-31","23.7850","36.2585"
"000521","2022-12-31","24.1239","39.0385"
"000523","2014-12-31","35.2208","43.3462"
"000523","2015-12-31","35.2263","47.1484"
"000523","2016-12-31","30.0395","53.9056"
"000523","2017-12-31","30.0395","53.6326"
"000523","2018-12-31","30.0395","50.8979"
"000523","2019-12-31","31.0396","49.7020"
"000523","2020-12-31","31.0396","50.2244"
"000523","2021-12-31","30.8565","71.7470"
"000523","2022-12-31","18.3363","63.5964"
"000528","2014-12-31","34.9758","40.6564"
"000528","2015-12-31","34.9758","45.3613"
"000528","2016-12-31","34.9758","46.7459"
"000528","2017-12-31","34.9758","44.4084"
"000528","2018-12-31","34.9758","45.8604"
"000528","2019-12-31","34.6652","45.1022"
"000528","2020-12-31","34.6652","44.4329"
"000528","2021-12-31","34.6812","44.2261"
"000528","2022-12-31","25.8723","55.6831"
"000529","2014-12-31","51.2615","59.7131"
"000529","2015-12-31","51.2615","58.6941"
"000529","2016-12-31","51.5031","59.8715"
"000529","2017-12-31","51.5031","58.8909"
"000529","2018-12-31","51.5031","59.2001"
"000529","2019-12-31","51.5031","58.8063"
"000529","2020-12-31","51.5031","59.5432"
"000529","2021-12-31","51.5031","60.5529"
"000529","2022-12-31","54.6065","58.1154"
"000530","2014-12-31","21.9578","37.3891"
"000530","2015-12-31","21.3390","40.4524"
"000530","2016-12-31","19.9556","39.3126"
"000530","2017-12-31","19.9556","35.3494"
"000530","2018-12-31","19.9801","32.1708"
"000530","2019-12-31","20.2697","32.6944"
"000530","2020-12-31","20.2697","33.0014"
"000530","2021-12-31","20.2697","32.5883"
"000530","2022-12-31","20.2697","32.8551"
"000533","2014-12-31","24.9664","44.1468"
"000533","2015-12-31","24.9664","44.8782"
"000533","2016-12-31","17.3708","45.4456"
"000533","2017-12-31","17.3708","54.1880"
"000533","2018-12-31","17.3708","46.0878"
"000533","2019-12-31","17.3708","46.3014"
"000533","2020-12-31","17.3708","46.5327"
"000533","2021-12-31","17.3708","44.5309"
"000533","2022-12-31","17.3708","44.5092"
"000534","2014-12-31","56.1670","62.0006"
"000534","2015-12-31","52.3963","65.1561"
"000534","2016-12-31","52.3828","63.6911"
"000534","2017-12-31","52.2815","67.1444"
"000534","2018-12-31","52.2815","67.1804"
"000534","2019-12-31","42.2815","62.5496"
"000534","2020-12-31","42.2815","63.9741"
"000534","2021-12-31","39.8634","57.3214"
"000534","2022-12-31","29.0854","50.8910"
"000536","2014-12-31","63.6329","73.3649"
"000536","2015-12-31","63.6329","71.5912"
"000536","2016-12-31","28.6774","79.2451"
"000536","2017-12-31","26.3659","74.2188"
"000536","2018-12-31","26.3659","67.0051"
"000536","2019-12-31","25.3666","62.9275"
"000536","2020-12-31","14.0884","62.1324"
"000536","2021-12-31","13.7333","59.6438"
"000536","2022-12-31","13.7333","58.3544"
"000538","2014-12-31","41.5236","66.9513"
"000538","2015-12-31","41.5236","72.5270"
"000538","2016-12-31","41.5236","72.3824"
"000538","2017-12-31","41.5236","77.2960"
"000538","2018-12-31","41.5236","77.7429"
"000538","2019-12-31","25.1416","80.9845"
"000538","2020-12-31","25.1416","76.6055"
"000538","2021-12-31","25.0375","74.6653"
"000538","2022-12-31","25.0227","72.7586"
"000541","2014-12-31","13.4703","31.0021"
"000541","2015-12-31","13.4703","41.9911"
"000541","2016-12-31","13.4703","43.7831"
"000541","2017-12-31","13.4703","43.6415"
"000541","2018-12-31","13.4703","43.4884"
"000541","2019-12-31","13.4703","43.5887"
"000541","2020-12-31","13.4703","47.6464"
"000541","2021-12-31","13.4703","47.9926"
"000541","2022-12-31","13.8397","49.3234"
"000545","2014-12-31","37.2951","63.2214"
"000545","2015-12-31","37.2951","51.9875"
"000545","2016-12-31","37.2951","44.2697"
"000545","2017-12-31","37.2951","43.0660"
"000545","2018-12-31","37.2951","43.1991"
"000545","2019-12-31","37.2951","42.8286"
"000545","2020-12-31","34.2613","40.1618"
"000545","2021-12-31","34.2613","38.1493"
"000545","2022-12-31","34.2613","37.5750"
"000547","2014-12-31","19.0453","37.6408"
"000547","2015-12-31","8.1242","49.0424"
"000547","2016-12-31","8.1242","48.5452"
"000547","2017-12-31","8.1242","44.4122"
"000547","2018-12-31","7.4203","41.0127"
"000547","2019-12-31","8.9915","36.8167"
"000547","2020-12-31","9.4339","34.7998"
"000547","2021-12-31","9.4441","32.1817"
"000547","2022-12-31","12.1254","26.7366"
"000550","2014-12-31","41.0299","79.4888"
"000550","2015-12-31","41.0299","81.9340"
"000550","2016-12-31","41.0299","81.3850"
"000550","2017-12-31","41.0299","80.9145"
"000550","2018-12-31","41.0299","82.2789"
"000550","2019-12-31","41.0299","81.0849"
"000550","2020-12-31","41.0299","80.2218"
"000550","2021-12-31","41.0299","78.2145"
"000550","2022-12-31","41.0299","77.8547"
"000553","2014-12-31","20.1520","34.5701"
"000553","2015-12-31","20.1520","35.2804"
"000553","2016-12-31","20.1520","33.8842"
"000553","2017-12-31","77.3268","84.1281"
"000553","2018-12-31","74.0177","83.3972"
"000553","2019-12-31","74.0177","84.0004"
"000553","2020-12-31","72.8824","82.8902"
"000553","2021-12-31","78.4672","82.4013"
"000553","2022-12-31","78.4672","82.6940"
"000559","2014-12-31","51.5291","56.0802"
"000559","2015-12-31","51.5291","59.9008"
"000559","2016-12-31","51.5291","59.1478"
"000559","2017-12-31","56.5019","66.4082"
"000559","2018-12-31","56.5085","66.7151"
"000559","2019-12-31","56.5085","68.0874"
"000559","2020-12-31","63.7571","70.7069"
"000559","2021-12-31","63.9700","70.1926"
"000559","2022-12-31","63.9700","69.4330"
"000561","2014-12-31","42.3073","60.4834"
"000561","2015-12-31","42.3073","61.0938"
"000561","2016-12-31","42.3073","61.7719"
"000561","2017-12-31","41.7330","59.6100"
"000561","2018-12-31","41.6829","56.8860"
"000561","2019-12-31","41.6883","57.4330"
"000561","2020-12-31","41.6883","59.2315"
"000561","2021-12-31","40.6377","57.4815"
