"Stkcd","ShortName","Accper","Typrep","F081602C"
"000066","长城电脑","2016-12-31","B","-0.057121"
"000066","中国长城","2017-12-31","A","-0.862475"
"000066","中国长城","2017-12-31","B","0.117373"
"000066","中国长城","2018-12-31","A","0.052872"
"000066","中国长城","2018-12-31","B","0.047505"
"000066","中国长城","2019-12-31","A","0.083351"
"000066","中国长城","2019-12-31","B","-0.204025"
"000066","中国长城","2020-12-31","A","0.332200"
"000066","中国长城","2020-12-31","B","0.784460"
"000066","中国长城","2021-12-31","A","0.231505"
"000066","中国长城","2021-12-31","B","0.843259"
"000066","中国长城","2022-12-31","A","-0.211524"
"000066","中国长城","2022-12-31","B","-0.540050"
"000070","特发信息","2014-12-31","A","0.217122"
"000070","特发信息","2014-12-31","B","0.212336"
"000070","特发信息","2015-12-31","A","0.280434"
"000070","特发信息","2015-12-31","B","0.200687"
"000070","特发信息","2016-12-31","A","0.882775"
"000070","特发信息","2016-12-31","B","0.064642"
"000070","特发信息","2017-12-31","A","0.186595"
"000070","特发信息","2017-12-31","B","0.007442"
"000070","特发信息","2018-12-31","A","0.042559"
"000070","特发信息","2018-12-31","B","-0.164499"
"000070","特发信息","2019-12-31","A","-0.241438"
"000070","特发信息","2019-12-31","B","-0.099332"
"000070","特发信息","2020-12-31","A","0.091044"
"000070","特发信息","2020-12-31","B","0.795109"
"000070","特发信息","2021-12-31","A","-0.027865"
"000070","特发信息","2021-12-31","B","0.062976"
"000070","特发信息","2022-12-31","A","-0.086962"
"000070","特发信息","2022-12-31","B","-0.305761"
"000100","TCL集团","2014-12-31","A","0.184058"
"000100","TCL集团","2014-12-31","B","0.551774"
"000100","TCL集团","2015-12-31","A","0.035147"
"000100","TCL集团","2015-12-31","B","0.047272"
"000100","TCL集团","2016-12-31","A","0.018111"
"000100","TCL集团","2016-12-31","B","-0.507190"
"000100","TCL集团","2017-12-31","A","0.047936"
"000100","TCL集团","2017-12-31","B","-0.067949"
"000100","TCL集团","2018-12-31","A","0.015977"
"000100","TCL集团","2018-12-31","B","0.275792"
"000100","TCL集团","2019-12-31","A","-0.338982"
"000100","TCL集团","2019-12-31","B","-0.158449"
"000100","TCL科技","2020-12-31","A","0.023276"
"000100","TCL科技","2020-12-31","B","-0.340385"
"000100","TCL科技","2021-12-31","A","1.132844"
"000100","TCL科技","2021-12-31","B","0.306398"
"000100","TCL科技","2022-12-31","A","0.018419"
"000100","TCL科技","2022-12-31","B","0.068598"
"000153","丰原药业","2014-12-31","A","0.110496"
"000153","丰原药业","2014-12-31","B","-0.006260"
"000153","丰原药业","2015-12-31","A","-0.085142"
"000153","丰原药业","2015-12-31","B","0.102745"
"000153","丰原药业","2016-12-31","A","0.308429"
"000153","丰原药业","2016-12-31","B","0.155914"
"000153","丰原药业","2017-12-31","A","0.267702"
"000153","丰原药业","2017-12-31","B","0.358567"
"000153","丰原药业","2018-12-31","A","0.168841"
"000153","丰原药业","2018-12-31","B","0.389263"
"000153","丰原药业","2019-12-31","A","0.074557"
"000153","丰原药业","2019-12-31","B","0.025666"
"000153","丰原药业","2020-12-31","A","0.025669"
"000153","丰原药业","2020-12-31","B","-0.213053"
"000153","丰原药业","2021-12-31","A","0.054344"
"000153","丰原药业","2021-12-31","B","-0.096538"
"000153","丰原药业","2022-12-31","A","0.143461"
"000153","丰原药业","2022-12-31","B","-0.141267"
"000157","中联重科","2014-12-31","A","-0.329268"
"000157","中联重科","2014-12-31","B","-0.421772"
"000157","中联重科","2015-12-31","A","-0.197200"
"000157","中联重科","2015-12-31","B","-0.344571"
"000157","中联重科","2016-12-31","A","-0.035215"
"000157","中联重科","2016-12-31","B","-0.074983"
"000157","中联重科","2017-12-31","A","0.162336"
"000157","中联重科","2017-12-31","B","0.339328"
"000157","中联重科","2018-12-31","A","0.233046"
"000157","中联重科","2018-12-31","B","0.268711"
"000157","中联重科","2019-12-31","A","0.509150"
"000157","中联重科","2019-12-31","B","0.193402"
"000157","中联重科","2020-12-31","A","0.503414"
"000157","中联重科","2020-12-31","B","1.391908"
"000157","中联重科","2021-12-31","A","0.031051"
"000157","中联重科","2021-12-31","B","-0.072532"
"000157","中联重科","2022-12-31","A","-0.379843"
"000157","中联重科","2022-12-31","B","-0.473925"
"000301","东方市场","2014-12-31","A","-0.235171"
"000301","东方市场","2014-12-31","B","-0.224625"
"000301","东方市场","2015-12-31","A","-0.116615"
"000301","东方市场","2015-12-31","B","-0.105133"
"000301","东方市场","2016-12-31","A","0.143005"
"000301","东方市场","2016-12-31","B","0.137654"
"000301","东方市场","2017-12-31","A","0.402105"
"000301","东方市场","2017-12-31","B","0.216821"
"000301","东方盛虹","2018-12-31","A","15.582578"
"000301","东方盛虹","2018-12-31","B","0.047861"
"000301","东方盛虹","2019-12-31","A","0.349646"
"000301","东方盛虹","2019-12-31","B","0.074421"
"000301","东方盛虹","2020-12-31","A","-0.084811"
"000301","东方盛虹","2020-12-31","B","2.215389"
"000301","东方盛虹","2021-12-31","A","1.270807"
"000301","东方盛虹","2021-12-31","B","1.022597"
"000301","东方盛虹","2022-12-31","A","0.233945"
"000301","东方盛虹","2022-12-31","B","-0.005652"
"000333","美的集团","2014-12-31","A","0.171053"
"000333","美的集团","2014-12-31","B","2.297103"
"000333","美的集团","2015-12-31","A","-0.022778"
"000333","美的集团","2015-12-31","B","0.143307"
"000333","美的集团","2016-12-31","A","0.148820"
"000333","美的集团","2016-12-31","B","0.384250"
"000333","美的集团","2017-12-31","A","0.513495"
"000333","美的集团","2017-12-31","B","0.311563"
"000333","美的集团","2018-12-31","A","0.078735"
"000333","美的集团","2018-12-31","B","0.128693"
"000333","美的集团","2019-12-31","A","0.071443"
"000333","美的集团","2019-12-31","B","0.000419"
"000333","美的集团","2020-12-31","A","0.021585"
"000333","美的集团","2020-12-31","B","0.047746"
"000333","美的集团","2021-12-31","A","0.200590"
"000333","美的集团","2021-12-31","B","0.007000"
"000333","美的集团","2022-12-31","A","0.007867"
"000333","美的集团","2022-12-31","B","-0.257200"
"000338","潍柴动力","2014-12-31","A","0.365715"
"000338","潍柴动力","2014-12-31","B","0.031094"
"000338","潍柴动力","2015-12-31","A","-0.074303"
"000338","潍柴动力","2015-12-31","B","-0.455587"
"000338","潍柴动力","2016-12-31","A","0.264021"
"000338","潍柴动力","2016-12-31","B","0.592669"
"000338","潍柴动力","2017-12-31","A","0.626569"
"000338","潍柴动力","2017-12-31","B","0.939210"
"000338","潍柴动力","2018-12-31","A","0.050712"
"000338","潍柴动力","2018-12-31","B","0.001613"
"000338","潍柴动力","2019-12-31","A","0.094848"
"000338","潍柴动力","2019-12-31","B","0.146993"
"000338","潍柴动力","2020-12-31","A","0.132657"
"000338","潍柴动力","2020-12-31","B","0.169066"
"000338","潍柴动力","2021-12-31","A","0.030668"
"000338","潍柴动力","2021-12-31","B","-0.081730"
"000338","潍柴动力","2022-12-31","A","-0.139477"
"000338","潍柴动力","2022-12-31","B","-0.469071"
"000400","许继电气","2014-12-31","A","0.168362"
"000400","许继电气","2014-12-31","B","0.309903"
"000400","许继电气","2015-12-31","A","-0.121171"
"000400","许继电气","2015-12-31","B","-0.056275"
"000400","许继电气","2016-12-31","A","0.307734"
"000400","许继电气","2016-12-31","B","0.308210"
"000400","许继电气","2017-12-31","A","0.075332"
"000400","许继电气","2017-12-31","B","0.130103"
"000400","许继电气","2018-12-31","A","-0.204648"
"000400","许继电气","2018-12-31","B","-0.264674"
"000400","许继电气","2019-12-31","A","0.236051"
"000400","许继电气","2019-12-31","B","0.137322"
"000400","许继电气","2020-12-31","A","0.101921"
"000400","许继电气","2020-12-31","B","0.121776"
