"Stkcd","ShortName","Accper","Typrep","F050501B"
"000050","深天马A","2017-12-31","B","0.003971"
"000050","深天马A","2018-12-31","A","0.037835"
"000050","深天马A","2018-12-31","B","0.002981"
"000050","深天马A","2019-12-31","A","0.031054"
"000050","深天马A","2019-12-31","B","0.006361"
"000050","深天马A","2020-12-31","A","0.043926"
"000050","深天马A","2020-12-31","B","0.004520"
"000050","深天马A","2021-12-31","A","0.044231"
"000050","深天马A","2021-12-31","B","0.008147"
"000050","深天马A","2022-12-31","A","0.003562"
"000050","深天马A","2022-12-31","B","0.003244"
"000050","深天马A","2023-12-31","A","-0.072772"
"000050","深天马A","2023-12-31","B","0.004093"
"000055","方大集团","2014-12-31","A","0.071270"
"000055","方大集团","2014-12-31","B","0.019643"
"000055","方大集团","2015-12-31","A","0.051134"
"000055","方大集团","2015-12-31","B","0.018268"
"000055","方大集团","2016-12-31","A","0.284927"
"000055","方大集团","2016-12-31","B","0.187623"
"000055","方大集团","2017-12-31","A","0.355378"
"000055","方大集团","2017-12-31","B","0.111414"
"000055","方大集团","2018-12-31","A","0.432355"
"000055","方大集团","2018-12-31","B","0.059514"
"000055","方大集团","2019-12-31","A","0.066287"
"000055","方大集团","2019-12-31","B","0.419557"
"000055","方大集团","2020-12-31","A","0.070084"
"000055","方大集团","2020-12-31","B","0.046231"
"000055","方大集团","2021-12-31","A","0.040563"
"000055","方大集团","2021-12-31","B","0.003622"
"000055","方大集团","2022-12-31","A","0.049164"
"000055","方大集团","2022-12-31","B","-0.004936"
"000055","方大集团","2023-12-31","A","0.045894"
"000055","方大集团","2023-12-31","B","-0.005108"
"000059","华锦股份","2014-12-31","A","-0.156758"
"000059","华锦股份","2014-12-31","B","-0.134619"
"000059","*ST 华锦","2015-12-31","A","0.039331"
"000059","*ST 华锦","2015-12-31","B","0.021250"
"000059","华锦股份","2016-12-31","A","0.166738"
"000059","华锦股份","2016-12-31","B","0.184736"
"000059","华锦股份","2017-12-31","A","0.153278"
"000059","华锦股份","2017-12-31","B","0.123324"
"000059","华锦股份","2018-12-31","A","0.081827"
"000059","华锦股份","2018-12-31","B","0.047251"
"000059","华锦股份","2019-12-31","A","0.074153"
"000059","华锦股份","2019-12-31","B","0.045983"
"000059","华锦股份","2020-12-31","A","0.024446"
"000059","华锦股份","2020-12-31","B","0.007839"
"000059","华锦股份","2021-12-31","A","0.062966"
"000059","华锦股份","2021-12-31","B","0.019952"
"000059","华锦股份","2022-12-31","A","0.039780"
"000059","华锦股份","2022-12-31","B","0.002215"
"000059","华锦股份","2023-12-31","A","0.005548"
"000059","华锦股份","2023-12-31","B","0.018010"
"000060","中金岭南","2014-12-31","A","0.084365"
"000060","中金岭南","2014-12-31","B","0.068034"
"000060","中金岭南","2015-12-31","A","0.033045"
"000060","中金岭南","2015-12-31","B","0.037849"
"000060","中金岭南","2016-12-31","A","0.041615"
"000060","中金岭南","2016-12-31","B","0.069638"
"000060","中金岭南","2017-12-31","A","0.105093"
"000060","中金岭南","2017-12-31","B","0.074366"
"000060","中金岭南","2018-12-31","A","0.084873"
"000060","中金岭南","2018-12-31","B","0.060339"
"000060","中金岭南","2019-12-31","A","0.076681"
"000060","中金岭南","2019-12-31","B","0.073938"
"000060","中金岭南","2020-12-31","A","0.085647"
"000060","中金岭南","2020-12-31","B","0.089781"
"000060","中金岭南","2021-12-31","A","0.088719"
"000060","中金岭南","2021-12-31","B","0.077542"
"000060","中金岭南","2022-12-31","A","0.080768"
"000060","中金岭南","2022-12-31","B","0.074901"
"000060","中金岭南","2023-12-31","A","0.060762"
"000060","中金岭南","2023-12-31","B","0.041206"
"000063","中兴通讯","2014-12-31","A","0.103746"
"000063","中兴通讯","2014-12-31","B","0.100284"
"000063","中兴通讯","2015-12-31","A","0.086284"
"000063","中兴通讯","2015-12-31","B","0.094942"
"000063","中兴通讯","2016-12-31","A","-0.034435"
"000063","中兴通讯","2016-12-31","B","-0.198980"
"000063","中兴通讯","2017-12-31","A","0.118694"
"000063","中兴通讯","2017-12-31","B","0.212929"
"000063","中兴通讯","2018-12-31","A","-0.210837"
"000063","中兴通讯","2018-12-31","B","-0.320337"
"000063","中兴通讯","2019-12-31","A","0.152201"
"000063","中兴通讯","2019-12-31","B","0.295482"
"000063","中兴通讯","2020-12-31","A","0.102373"
"000063","中兴通讯","2020-12-31","B","0.078489"
"000063","中兴通讯","2021-12-31","A","0.132036"
"000063","中兴通讯","2021-12-31","B","0.178627"
"000063","中兴通讯","2022-12-31","A","0.130856"
"000063","中兴通讯","2022-12-31","B","0.144866"
"000063","中兴通讯","2023-12-31","A","0.135236"
"000063","中兴通讯","2023-12-31","B","0.127406"
"000066","长城电脑","2014-12-31","A","-0.040122"
"000066","长城电脑","2014-12-31","B","0.000998"
"000066","长城电脑","2015-12-31","A","-0.022384"
"000066","长城电脑","2015-12-31","B","0.003027"
"000066","长城电脑","2016-12-31","A","0.022581"
"000066","长城电脑","2016-12-31","B","0.004544"
"000066","中国长城","2017-12-31","A","0.092092"
"000066","中国长城","2017-12-31","B","0.050820"
"000066","中国长城","2018-12-31","A","0.158842"
"000066","中国长城","2018-12-31","B","0.121261"
"000066","中国长城","2019-12-31","A","0.134770"
"000066","中国长城","2019-12-31","B","0.052260"
"000066","中国长城","2020-12-31","A","0.104267"
"000066","中国长城","2020-12-31","B","0.061062"
"000066","中国长城","2021-12-31","B","0.048282"
"000066","中国长城","2021-12-31","A","0.063409"
"000066","中国长城","2022-12-31","A","0.015239"
"000066","中国长城","2022-12-31","B","0.023633"
"000066","中国长城","2023-12-31","A","-0.062852"
"000066","中国长城","2023-12-31","B","-0.046504"
"000070","特发信息","2014-12-31","A","0.056135"
"000070","特发信息","2014-12-31","B","0.033417"
"000070","特发信息","2015-12-31","A","-0.202183"
"000070","特发信息","2015-12-31","B","0.029858"
"000070","特发信息","2016-12-31","A","0.087949"
"000070","特发信息","2016-12-31","B","0.032292"
"000070","特发信息","2017-12-31","A","0.132219"
"000070","特发信息","2017-12-31","B","0.057610"
"000070","特发信息","2018-12-31","A","0.136898"
"000070","特发信息","2018-12-31","B","0.059595"
"000070","特发信息","2019-12-31","A","0.127328"
"000070","特发信息","2019-12-31","B","0.124020"
"000070","特发信息","2020-12-31","A","0.019601"
"000070","特发信息","2020-12-31","B","0.123698"
"000070","特发信息","2021-12-31","A","-0.238911"
"000070","特发信息","2021-12-31","B","0.047016"
"000070","特发信息","2022-12-31","A","0.022784"
"000070","特发信息","2022-12-31","B","-0.000548"
"000070","特发信息","2023-12-31","A","-0.090326"
"000070","特发信息","2023-12-31","B","0.016755"
"000100","TCL集团","2014-12-31","A","0.157582"
"000100","TCL集团","2014-12-31","B","0.095913"
"000100","TCL集团","2015-12-31","A","0.085837"
"000100","TCL集团","2015-12-31","B","0.043168"
"000100","TCL集团","2016-12-31","A","0.046725"
"000100","TCL集团","2016-12-31","B","0.058708"
"000100","TCL集团","2017-12-31","A","0.065469"
"000100","TCL集团","2017-12-31","B","0.151742"
"000100","TCL集团","2018-12-31","A","0.066783"
"000100","TCL集团","2018-12-31","B","0.209218"
"000100","TCL集团","2019-12-31","A","0.057257"
"000100","TCL集团","2019-12-31","B","0.017511"
"000100","TCL科技","2020-12-31","A","0.056244"
"000100","TCL科技","2020-12-31","B","0.064308"
"000100","TCL科技","2021-12-31","A","0.125028"
"000100","TCL科技","2021-12-31","B","0.030099"
"000100","TCL科技","2022-12-31","A","0.013532"
"000100","TCL科技","2022-12-31","B","0.218149"
"000100","TCL科技","2023-12-31","A","0.032911"
"000100","TCL科技","2023-12-31","B","0.029293"
"000153","丰原药业","2014-12-31","A","0.035849"
"000153","丰原药业","2014-12-31","B","0.000058"
"000153","丰原药业","2015-12-31","A","0.026572"
"000153","丰原药业","2015-12-31","B","0.001877"
"000153","丰原药业","2016-12-31","A","0.039653"
"000153","丰原药业","2016-12-31","B","-0.026026"
"000153","丰原药业","2017-12-31","A","0.053544"
"000153","丰原药业","2017-12-31","B","-0.011561"
"000153","丰原药业","2018-12-31","A","0.046995"
"000153","丰原药业","2018-12-31","B","0.029063"
"000153","丰原药业","2019-12-31","A","0.060740"
"000153","丰原药业","2019-12-31","B","0.032830"
"000153","丰原药业","2020-12-31","A","0.070510"
"000153","丰原药业","2020-12-31","B","0.021728"
"000153","丰原药业","2021-12-31","A","0.070276"
"000153","丰原药业","2021-12-31","B","0.043546"
"000153","丰原药业","2022-12-31","A","0.086018"
"000153","丰原药业","2022-12-31","B","0.016592"
"000153","丰原药业","2023-12-31","A","0.081976"
"000153","丰原药业","2023-12-31","B","0.015894"
"000157","中联重科","2014-12-31","A","0.015222"
"000157","中联重科","2014-12-31","B","0.001163"
"000157","中联重科","2015-12-31","A","0.002245"
"000157","中联重科","2015-12-31","B","0.002806"
"000157","中联重科","2016-12-31","A","-0.023940"
"000157","中联重科","2016-12-31","B","0.005569"
"000157","中联重科","2017-12-31","A","0.032646"
"000157","中联重科","2017-12-31","B","0.006906"
"000157","中联重科","2018-12-31","A","0.050470"
"000157","中联重科","2018-12-31","B","0.092943"
"000157","中联重科","2019-12-31","A","0.108140"
"000157","中联重科","2019-12-31","B","0.057881"
"000157","中联重科","2020-12-31","A","0.153596"
"000157","中联重科","2020-12-31","B","0.087107"
"000157","中联重科","2021-12-31","A","0.109543"
"000157","中联重科","2021-12-31","B","0.090327"
"000157","中联重科","2022-12-31","A","0.041854"
"000157","中联重科","2022-12-31","B","0.021231"
"000157","中联重科","2023-12-31","A","0.063733"
"000157","中联重科","2023-12-31","B","0.017546"
"000301","东方市场","2014-12-31","A","0.071851"
"000301","东方市场","2014-12-31","B","0.080742"
"000301","东方市场","2015-12-31","A","0.051441"
"000301","东方市场","2015-12-31","B","0.061372"
"000301","东方市场","2016-12-31","A","0.042464"
"000301","东方市场","2016-12-31","B","0.050676"
"000301","东方市场","2017-12-31","A","0.063517"
"000301","东方市场","2017-12-31","B","0.052122"
"000301","东方盛虹","2018-12-31","A","0.065338"
"000301","东方盛虹","2018-12-31","B","0.011903"
"000301","东方盛虹","2019-12-31","A","0.105370"
"000301","东方盛虹","2019-12-31","B","0.023294"
"000301","东方盛虹","2020-12-31","A","0.013870"
"000301","东方盛虹","2020-12-31","B","0.007873"
"000301","东方盛虹","2021-12-31","A","0.172954"
"000301","东方盛虹","2021-12-31","B","0.088776"
"000301","东方盛虹","2022-12-31","A","0.015203"
"000301","东方盛虹","2022-12-31","B","-0.009258"
"000301","东方盛虹","2023-12-31","A","0.020038"
"000301","东方盛虹","2023-12-31","B","0.011411"
"000333","美的集团","2014-12-31","A","0.254668"
"000333","美的集团","2014-12-31","B","0.343730"
"000333","美的集团","2015-12-31","A","0.243160"
"000333","美的集团","2015-12-31","B","0.293397"
"000333","美的集团","2016-12-31","A","0.229960"
"000333","美的集团","2016-12-31","B","0.341046"
"000333","美的集团","2017-12-31","A","0.224434"
"000333","美的集团","2017-12-31","B","0.312854"
"000333","美的集团","2018-12-31","A","0.234174"
"000333","美的集团","2018-12-31","B","0.324078"
"000333","美的集团","2019-12-31","A","0.235145"
"000333","美的集团","2019-12-31","B","0.229995"
"000333","美的集团","2020-12-31","A","0.221404"
"000333","美的集团","2020-12-31","B","0.238023"
"000333","美的集团","2021-12-31","A","0.215208"
"000333","美的集团","2021-12-31","B","0.257630"
"000333","美的集团","2022-12-31","A","0.196218"
"000333","美的集团","2022-12-31","B","0.214904"
"000333","美的集团","2023-12-31","A","0.193605"
"000333","美的集团","2023-12-31","B","0.278417"
"000338","潍柴动力","2014-12-31","A","0.141588"
"000338","潍柴动力","2014-12-31","B","0.125579"
"000338","潍柴动力","2015-12-31","A","0.051830"
"000338","潍柴动力","2015-12-31","B","0.055632"
"000338","潍柴动力","2016-12-31","A","0.080703"
"000338","潍柴动力","2016-12-31","B","0.091839"
"000338","潍柴动力","2017-12-31","A","0.162867"
"000338","潍柴动力","2017-12-31","B","0.168682"
"000338","潍柴动力","2018-12-31","A","0.186731"
"000338","潍柴动力","2018-12-31","B","0.171492"
"000338","潍柴动力","2019-12-31","A","0.170649"
"000338","潍柴动力","2019-12-31","B","0.169368"
"000338","潍柴动力","2020-12-31","A","0.140176"
"000338","潍柴动力","2020-12-31","B","0.136955"
"000338","潍柴动力","2021-12-31","A","0.112293"
"000338","潍柴动力","2021-12-31","B","0.117735"
"000338","潍柴动力","2022-12-31","A","0.054583"
"000338","潍柴动力","2022-12-31","B","0.057426"
"000338","潍柴动力","2023-12-31","A","0.099495"
"000338","潍柴动力","2023-12-31","B","0.113769"
"000400","许继电气","2014-12-31","A","0.206807"
"000400","许继电气","2014-12-31","B","0.219623"
"000400","许继电气","2015-12-31","A","0.117274"
"000400","许继电气","2015-12-31","B","0.087453"
"000400","许继电气","2016-12-31","A","0.124559"
"000400","许继电气","2016-12-31","B","0.168749"
"000400","许继电气","2017-12-31","A","0.083915"
"000400","许继电气","2017-12-31","B","0.053864"
"000400","许继电气","2018-12-31","A","0.032768"
"000400","许继电气","2018-12-31","B","0.024823"
"000400","许继电气","2019-12-31","A","0.056986"
"000400","许继电气","2019-12-31","B","0.038419"
"000400","许继电气","2020-12-31","A","0.087250"
"000400","许继电气","2020-12-31","B","0.094479"
"000400","许继电气","2021-12-31","A","0.084391"
"000400","许继电气","2021-12-31","B","0.073078"
"000400","许继电气","2022-12-31","A","0.088891"
"000400","许继电气","2022-12-31","B","0.024001"
"000400","许继电气","2023-12-31","A","0.101427"
"000400","许继电气","2023-12-31","B","0.078025"
"000401","冀东水泥","2014-12-31","A","-0.020650"
"000401","冀东水泥","2014-12-31","B","0.075321"
"000401","冀东水泥","2015-12-31","A","-0.189741"
"000401","冀东水泥","2015-12-31","B","0.049166"
"000401","冀东水泥","2016-12-31","A","-0.002118"
"000401","冀东水泥","2016-12-31","B","0.020163"
"000401","冀东水泥","2017-12-31","A","0.011632"
"000401","冀东水泥","2017-12-31","B","0.032027"
"000401","冀东水泥","2018-12-31","A","0.107409"
"000401","冀东水泥","2018-12-31","B","0.060762"
"000401","冀东水泥","2019-12-31","A","0.170075"
"000401","冀东水泥","2019-12-31","B","0.052715"
"000401","冀东水泥","2020-12-31","A","0.161237"
"000401","冀东水泥","2020-12-31","B","0.075775"
"000401","冀东水泥","2021-12-31","A","0.123800"
"000401","冀东水泥","2021-12-31","B","0.068000"
"000401","冀东水泥","2022-12-31","A","0.043152"
"000401","冀东水泥","2022-12-31","B","0.077728"
"000401","冀东水泥","2023-12-31","A","-0.057145"
"000401","冀东水泥","2023-12-31","B","0.032474"
"000403","ST 生化","2014-12-31","A","0.233145"
"000403","ST 生化","2014-12-31","B",""
"000403","ST 生化","2015-12-31","A","0.127196"
"000403","ST 生化","2015-12-31","B",""
"000403","ST 生化","2016-12-31","A","0.077719"
"000403","ST 生化","2016-12-31","B",""
"000403","ST 生化","2017-12-31","A","0.028118"
"000403","ST 生化","2017-12-31","B",""
"000403","振兴生化","2018-12-31","A","0.120972"
"000403","振兴生化","2018-12-31","B",""
"000403","双林生物","2019-12-31","A","0.196902"
"000403","双林生物","2019-12-31","B","1.513784"
"000403","双林生物","2020-12-31","A","0.188936"
"000403","双林生物","2020-12-31","B","-0.005778"
"000403","派林生物","2021-12-31","A","0.061877"
"000403","派林生物","2021-12-31","B","0.023654"
"000403","派林生物","2022-12-31","A","0.085655"
"000403","派林生物","2022-12-31","B","0.018598"
"000403","派林生物","2023-12-31","A","0.082388"
"000403","派林生物","2023-12-31","B","0.007805"
"000404","华意压缩","2014-12-31","A","0.107348"
"000404","华意压缩","2014-12-31","B","0.044864"
"000404","华意压缩","2015-12-31","A","0.111859"
"000404","华意压缩","2015-12-31","B","0.065581"
"000404","华意压缩","2016-12-31","A","0.121770"
"000404","华意压缩","2016-12-31","B","0.082612"
