"Symbol","ShortName","EndDate","EquityNature"
"000523","广州浪奇","2022-12-31","国企"
"000528","柳工","2014-12-31","国企"
"000528","柳工","2015-12-31","国企"
"000528","柳工","2016-12-31","国企"
"000528","柳工","2017-12-31","国企"
"000528","柳工","2018-12-31","国企"
"000528","柳工","2019-12-31","国企"
"000528","柳工","2020-12-31","国企"
"000528","柳工","2021-12-31","国企"
"000528","柳工","2022-12-31","国企"
"000529","广弘控股","2014-12-31","国企"
"000529","广弘控股","2015-12-31","国企"
"000529","广弘控股","2016-12-31","国企"
"000529","广弘控股","2017-12-31","国企"
"000529","广弘控股","2018-12-31","国企"
"000529","广弘控股","2019-12-31","国企"
"000529","广弘控股","2020-12-31","国企"
"000529","广弘控股","2021-12-31","国企"
"000529","广弘控股","2022-12-31","国企"
"000530","大冷股份","2014-12-31","国企"
"000530","大冷股份","2015-12-31","国企"
"000530","大冷股份","2016-12-31","国企"
"000530","大冷股份","2017-12-31","国企"
"000530","大冷股份","2018-12-31","外资"
"000530","大冷股份","2019-12-31","国企"
"000530","冰山冷热","2020-12-31","国企"
"000530","冰山冷热","2021-12-31","国企"
"000530","冰山冷热","2022-12-31","国企"
"000533","万家乐","2014-12-31","民营"
"000533","万家乐","2015-12-31","民营"
"000533","万家乐","2016-12-31","其他"
"000533","万家乐","2017-12-31","其他"
"000533","万家乐","2018-12-31","其他"
"000533","顺钠股份","2019-12-31","其他"
"000533","顺钠股份","2020-12-31","其他"
"000533","顺钠股份","2021-12-31","其他"
"000533","顺钠股份","2022-12-31","其他"
"000534","万泽股份","2014-12-31","民营"
"000534","万泽股份","2015-12-31","民营"
"000534","万泽股份","2016-12-31","民营"
"000534","万泽股份","2017-12-31","民营"
"000534","万泽股份","2018-12-31","民营"
"000534","万泽股份","2019-12-31","民营"
"000534","万泽股份","2020-12-31","民营"
"000534","万泽股份","2021-12-31","民营"
"000534","万泽股份","2022-12-31","民营"
"000536","华映科技","2014-12-31","外资"
"000536","华映科技","2015-12-31","外资"
"000536","华映科技","2016-12-31","外资"
"000536","华映科技","2017-12-31","外资"
"000536","华映科技","2018-12-31","外资"
"000536","华映科技","2019-12-31","外资"
"000536","*ST 华映","2020-12-31","国企"
"000536","华映科技","2021-12-31","国企"
"000536","华映科技","2022-12-31","国企"
"000538","云南白药","2014-12-31","国企"
"000538","云南白药","2015-12-31","国企"
"000538","云南白药","2016-12-31","国企"
"000538","云南白药","2017-12-31","国企"
"000538","云南白药","2018-12-31","国企"
"000538","云南白药","2019-12-31","国企"
"000538","云南白药","2020-12-31","国企"
"000538","云南白药","2021-12-31","国企"
"000538","云南白药","2022-12-31","国企"
"000541","佛山照明","2014-12-31","外资"
"000541","佛山照明","2015-12-31","国企"
"000541","佛山照明","2016-12-31","国企"
"000541","佛山照明","2017-12-31","国企"
"000541","佛山照明","2018-12-31","国企"
"000541","佛山照明","2019-12-31","国企"
"000541","佛山照明","2020-12-31","国企"
"000541","佛山照明","2021-12-31","国企"
"000541","佛山照明","2022-12-31","国企"
"000545","金浦钛业","2014-12-31","民营"
"000545","金浦钛业","2015-12-31","民营"
"000545","金浦钛业","2016-12-31","民营"
"000545","金浦钛业","2017-12-31","民营"
"000545","金浦钛业","2018-12-31","民营"
"000545","金浦钛业","2019-12-31","民营"
"000545","金浦钛业","2020-12-31","民营"
"000545","金浦钛业","2021-12-31","民营"
"000545","金浦钛业","2022-12-31","民营"
"000547","闽福发A","2014-12-31","民营"
"000547","航天发展","2015-12-31","国企"
"000547","航天发展","2016-12-31","国企"
"000547","航天发展","2017-12-31","国企"
"000547","航天发展","2018-12-31","国企"
"000547","航天发展","2019-12-31","国企"
"000547","航天发展","2020-12-31","国企"
"000547","航天发展","2021-12-31","国企"
"000547","航天发展","2022-12-31","国企"
"000550","江铃汽车","2014-12-31","国企"
"000550","江铃汽车","2015-12-31","国企"
"000550","江铃汽车","2016-12-31","国企"
"000550","江铃汽车","2017-12-31","国企"
"000550","江铃汽车","2018-12-31","国企"
"000550","江铃汽车","2019-12-31","国企"
"000550","江铃汽车","2020-12-31","国企"
"000550","江铃汽车","2021-12-31","国企"
"000550","江铃汽车","2022-12-31","国企"
"000553","沙隆达A","2014-12-31","国企"
"000553","沙隆达A","2015-12-31","国企"
